,NO.,summary
2218,19761.txt,"['Because of her father, many South Koreans long derided Ms. Park as a princess. But others celebrated her arrival. At the gate, Ms. Park’s   bodyguards, the only official privilege she still enjoyed, turned around. 30, though a limited supply of private snacks can be bought from a jail cafeteria. “It’s really sad,” Mr. Jeong said.']"
2219,19762.txt,"['Afterward, I was sad but mostly relieved. Now I was pregnant again. As she ran an ultrasound wand over my tummy, she became silent. I knew already. Overnight. The last time I’d had a dead baby inside of me, I’d been distressed. I was unsure of how to tell my kids. After all, I was told over and over again, I already had two kids. That I’d barely been 16 weeks. I was told, “It wasn’t a stillbirth. You weren’t full term. It was just a fetus. “He died. Fresh grief engulfed me. I managed a thank you.']"
2220,19763.txt,"['“The remaining conflicts, from a practical perspective, are pretty narrow and very manageable. Mr. Trump has already said he hopes to roll back the law, with the help of Congress and his top aides. Deutsche Bank, for example, reached a $7. Stephen K. Bannon, Mr. Trump’s chief strategist, reported assets worth as much as $53. 9 million. Even Mr. Bannon’s aide Julia Hahn, who is 25, reported investments worth between $1 million and $2.']"
2221,19765.txt,"['But the work paid well, and the disclosure forms showed income of nearly $1. 37 million to $1. 47 million. The speaking fees, all of which were from 2016, ranged from about $10, 000 to about $22, 000.']"
2222,19766.txt,"['2 trillion tax on seniors and the working poor. Americans for Prosperity is calling on Mr. Trump to rely more on spending cuts, rather than on a border adjustment tax, to finance the tax overhaul. “In the short term, Koch would profit handsomely from it,” Mr. Ellender said. ” The debate has divided the White House, too. In an interview with Reuters in late February, Mr. Trump embraced the notion of a border tax. But some conservatives are not so sure. ”']"
2223,19767.txt,"['“But there is a danger here. They credit Mr. Shannon, 59, with overseeing that response. In all these cases, Mr. Shannon said, he was simply doing his job as a Foreign Service officer. “He’s both an effective diplomat and an effective bureaucrat, with an agreeable personality. ” Arturo Valenzuela, who succeeded him as assistant secretary, noted that Mr. Shannon was a fan of Nascar. ” She declined to comment, as did colleagues from the Obama administration. But of all the Obama holdovers, he has had perhaps the smoothest transition.']"
2224,19768.txt,"['The court, packed with judges loyal to Mr. Maduro, is considered to be controlled by the president. That stalemate, she added, seemed unlikely to change. “It’s like a chess game where you just moved one pawn,” she said. “The constitutional order of Venezuela has been completely fractured,” he said. The decision by the court represented “a rupture in the constitutional order,” Ms. Ortega said.']"
2225,19769.txt,"['When Mr. Chávez became president, the judiciary was dysfunctional and corrupt. A strong leader, he argued, was necessary to break through those shadowy forces and impose the will of the people. That message was popular, as were initial steps. “However, this comes at a price,” Mr. Mudde wrote. Dissent, by that logic, was a threat to freedom, not evidence of it. That progression was not inevitable.']"
2226,19770.txt,"['He now sits locked in a jail cell, a political prisoner, rights activists say. Mr. Trump wrote that Mr. López, a former mayor of Caracas, should be released immediately. These conditions led to the protests against Mr. Maduro on Margarita Island, where Mr. Jatar, the journalist, was arrested. “I turned on the dial to listen to him,” Ms. Martínez said. They were interrogated before being let go, the group said. But Mr. Jatar was not released. “We have no idea who ordered his detention,” Ms. Martinez said. “Calling for his release is not just about letting another political prisoner out of jail,” he said. “At no moment did they say why they had taken us,” Mr. Roca said. Mr. Farias was released on March 14, with no explanation. “I turned on the television and I saw that the government had him,” she said.']"
2227,19772.txt,"['” Or so said The Times on April 1, 1892. No pressure. • Of course, April Fools’ Day calls for comedy. ice cream and blow the kids’ minds. No problem. Not for nothing, it’s got 928   ratings. Also, it’s even better the second day. • We’re beginning to see asparagus at the market. And after Easter, don’t forget to freeze the hock. • If you liked “Serial,” try the new “This American Life” podcast “ .']"
2228,19773.txt,"['Gonzaga, making its 19th consecutive N. C. A. In the final on Monday night, the Bulldogs will face a fellow No. And we’ve been on them to show emotion. But then, suddenly, it will sprout 90 feet in just two months. “Maybe that’s how he is,” Karnowski said after the game. Collins, a   freshman forward, filled it immediately. By then, Karnowski was already in the locker room. “The doctor said I’m good to go, so I was just real happy about it,” he said. The first two times, Thornwell was the spark. “To be playing the last game of the year is crazy cool,” he said.']"
2229,19774.txt,"['” No matter. “I’m over here like, dang, I just won the game. “I think the fun of the men’s game is the parity, and the fun of the N. C. A. A. tournament is the upsets,” said Muffet McGraw, the longtime women’s coach at Notre Dame, which won the 2001 N. C. A. ” But with the Huskies, she said, “Nobody comes close. ” Well, hardly ever. “I feel like we earned respect,” William said. “People didn’t believe in us, but it didn’t faze us. “I’m just trying to stay levelheaded,” she said. After averaging 9. “It happens. “That’s a whole different dynamic,” he said. A. tournament’s all about, for kids to throw themselves into the national spotlight. “I love all my kids. “I didn’t cry because we played so bad,” she said. After the season, the injury did not heal. So William underwent surgery, and a rod was inserted into her leg. “I’m back to myself,” she said. “It was almost like, ‘Of course, of course it’s going to go in,’” Auriemma said. ”']"
